population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,164,Nepal,3,Both,10,25-29 years,493,Ischemic heart disease,3,Rate,2023,7.773345007795103,11.092682276722647,4.913123489025518
1,All Population,1,Deaths,164,Nepal,3,Both,11,30-34 years,493,Ischemic heart disease,1,Number,2023,312.03664593168475,451.94272675705116,204.33316402229488
1,All Population,1,Deaths,164,Nepal,3,Both,11,30-34 years,493,Ischemic heart disease,2,Percent,2023,0.07957953631242315,0.10978824940831174,0.05534211387944898
1,All Population,1,Deaths,164,Nepal,3,Both,11,30-34 years,493,Ischemic heart disease,3,Rate,2023,13.100278333749644,18.97397497577048,8.578547925085156
1,All Population,1,Deaths,164,Nepal,3,Both,12,35-39 years,493,Ischemic heart disease,1,Number,2023,456.6075545581326,664.8322391194524,301.970703038446
1,All Population,1,Deaths,164,Nepal,3,Both,12,35-39 years,493,Ischemic heart disease,2,Percent,2023,0.09174582732935219,0.12566810698849204,0.06593870341572612
1,All Population,1,Deaths,164,Nepal,3,Both,12,35-39 years,493,Ischemic heart disease,3,Rate,2023,21.07022807493026,30.67878919210919,13.934486018577362
1,All Population,1,Deaths,164,Nepal,3,Both,13,40-44 years,493,Ischemic heart disease,1,Number,2023,673.5813044641725,947.3548196229949,466.21860687778263
1,All Population,1,Deaths,164,Nepal,3,Both,13,40-44 years,493,Ischemic heart disease,2,Percent,2023,0.12142125169838984,0.16108749572757475,0.08863672889581287
1,All Population,1,Deaths,164,Nepal,3,Both,13,40-44 years,493,Ischemic heart disease,3,Rate,2023,35.429583016768895,49.82974736044553,24.522549433699936
1,All Population,1,Deaths,164,Nepal,3,Both,14,45-49 years,493,Ischemic heart disease,1,Number,2023,904.8027344889449,1288.1464062049781,661.3951966442328
1,All Population,1,Deaths,164,Nepal,3,Both,14,45-49 years,493,Ischemic heart disease,2,Percent,2023,0.1356203982448094,0.17553239400985216,0.10410596028914255
1,All Population,1,Deaths,164,Nepal,3,Both,14,45-49 years,493,Ischemic heart disease,3,Rate,2023,55.82454221982702,79.47608986739517,40.80677773361428
1,All Population,1,Deaths,164,Nepal,3,Both,15,50-54 years,493,Ischemic heart disease,1,Number,2023,1395.3583773213688,1839.3964835462755,999.0863760427727
1,All Population,1,Deaths,164,Nepal,3,Both,15,50-54 years,493,Ischemic heart disease,2,Percent,2023,0.15807037870748572,0.1967554580698116,0.1215212083479711
1,All Population,1,Deaths,164,Nepal,3,Both,15,50-54 years,493,Ischemic heart disease,3,Rate,2023,97.98730786546844,129.16933201483744,70.15959907119338
1,All Population,1,Deaths,164,Nepal,3,Both,16,55-59 years,493,Ischemic heart disease,1,Number,2023,1619.757902302411,2151.743568641317,1149.2000313902836
