population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,164,Nepal,3,Both,14,45-49 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,164,Nepal,1,Male,14,45-49 years,294,All causes,3,Rate,2023,527.3303273,689.1750071,387.2419625
1,All Population,1,Deaths,164,Nepal,2,Female,14,45-49 years,294,All causes,3,Rate,2023,304.0680701,395.5672267,229.7880528
1,All Population,1,Deaths,164,Nepal,3,Both,14,45-49 years,294,All causes,3,Rate,2023,411.2061191,495.3630678,335.0704603
1,All Population,1,Deaths,164,Nepal,1,Male,15,50-54 years,294,All causes,1,Number,2023,5275.523705,6812.658571,3874.88867
1,All Population,1,Deaths,164,Nepal,2,Female,15,50-54 years,294,All causes,1,Number,2023,3549.283093,4642.548898,2618.023482
1,All Population,1,Deaths,164,Nepal,3,Both,15,50-54 years,294,All causes,1,Number,2023,8824.806798,10555.54943,7312.792418
1,All Population,1,Deaths,164,Nepal,1,Male,15,50-54 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,164,Nepal,2,Female,15,50-54 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,164,Nepal,3,Both,15,50-54 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,164,Nepal,1,Male,15,50-54 years,294,All causes,3,Rate,2023,760.0858964,981.55292,558.2854694
1,All Population,1,Deaths,164,Nepal,2,Female,15,50-54 years,294,All causes,3,Rate,2023,486.2364041,636.0090822,358.6578727
1,All Population,1,Deaths,164,Nepal,3,Both,15,50-54 years,294,All causes,3,Rate,2023,619.7110897,741.2503399,513.531759
1,All Population,1,Deaths,164,Nepal,1,Male,16,55-59 years,294,All causes,1,Number,2023,5819.819991,7629.878338,4373.366159
1,All Population,1,Deaths,164,Nepal,2,Female,16,55-59 years,294,All causes,1,Number,2023,4342.314032,5620.609355,3235.774714
1,All Population,1,Deaths,164,Nepal,3,Both,16,55-59 years,294,All causes,1,Number,2023,10162.13402,12184.13025,8247.347081
1,All Population,1,Deaths,164,Nepal,1,Male,16,55-59 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,164,Nepal,2,Female,16,55-59 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,164,Nepal,3,Both,16,55-59 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,164,Nepal,1,Male,16,55-59 years,294,All causes,3,Rate,2023,963.0888697,1262.625118,723.7234617
1,All Population,1,Deaths,164,Nepal,2,Female,16,55-59 years,294,All causes,3,Rate,2023,697.0842653,902.2927207,519.4482994
1,All Population,1,Deaths,164,Nepal,3,Both,16,55-59 years,294,All causes,3,Rate,2023,828.0665873,992.8299641,672.0392129
1,All Population,1,Deaths,164,Nepal,1,Male,17,60-64 years,294,All causes,1,Number,2023,7866.190064,10199.98561,5975.36872
1,All Population,1,Deaths,164,Nepal,2,Female,17,60-64 years,294,All causes,1,Number,2023,6532.296658,8496.975715,4924.871181
1,All Population,1,Deaths,164,Nepal,3,Both,17,60-64 years,294,All causes,1,Number,2023,14398.48672,17034.30937,11824.98265
1,All Population,1,Deaths,164,Nepal,1,Male,17,60-64 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,164,Nepal,2,Female,17,60-64 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,164,Nepal,3,Both,17,60-64 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,164,Nepal,1,Male,17,60-64 years,294,All causes,3,Rate,2023,1594.395457,2067.431702,1211.145505
1,All Population,1,Deaths,164,Nepal,2,Female,17,60-64 years,294,All causes,3,Rate,2023,1277.443994,1661.653039,963.0988059
1,All Population,1,Deaths,164,Nepal,3,Both,17,60-64 years,294,All causes,3,Rate,2023,1433.081872,1695.425389,1176.940924
1,All Population,1,Deaths,164,Nepal,1,Male,18,65-69 years,294,All causes,1,Number,2023,8407.588836,10960.76526,6435.254187
1,All Population,1,Deaths,164,Nepal,2,Female,18,65-69 years,294,All causes,1,Number,2023,7647.499223,9931.827778,5686.101869
1,All Population,1,Deaths,164,Nepal,3,Both,18,65-69 years,294,All causes,1,Number,2023,16055.08806,19259.83375,13227.1081
1,All Population,1,Deaths,164,Nepal,1,Male,18,65-69 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,164,Nepal,2,Female,18,65-69 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,164,Nepal,3,Both,18,65-69 years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,164,Nepal,1,Male,18,65-69 years,294,All causes,3,Rate,2023,2113.700281,2755.578687,1617.847738
1,All Population,1,Deaths,164,Nepal,2,Female,18,65-69 years,294,All causes,3,Rate,2023,1838.333153,2387.448202,1366.845458
1,All Population,1,Deaths,164,Nepal,3,Both,18,65-69 years,294,All causes,3,Rate,2023,1972.931414,2366.746971,1625.41476
1,All Population,1,Deaths,164,Nepal,1,Male,26,70+ years,294,All causes,1,Number,2023,38688.90609,45324.21698,33020.00554
1,All Population,1,Deaths,164,Nepal,2,Female,26,70+ years,294,All causes,1,Number,2023,38488.16547,44513.17561,32980.06211
1,All Population,1,Deaths,164,Nepal,3,Both,26,70+ years,294,All causes,1,Number,2023,77177.07155,85957.47521,69186.17762
1,All Population,1,Deaths,164,Nepal,1,Male,26,70+ years,294,All causes,2,Percent,2023,1,1,1
1,All Population,1,Deaths,164,Nepal,2,Female,26,70+ years,294,All causes,2,Percent,2023,1,1,1
